;modelo;sill;sill.1;distancia;20;40;60;80;100;120;140;160;180;200
1;Gaussiano;6;0.3;15;0.096;0.108;0.134;0.124;0.116;0.12;0.142;0.112;0.106;0.09
2;Gaussiano;38;1.9;15;0.134;0.128;0.126;0.136;0.102;0.11;0.112;0.092;0.116;0.086
3;Gaussiano;6;3;15;0.128;0.152;0.126;0.122;0.134;0.098;0.128;0.148;0.072;0.148
4;Gaussiano;38;19;15;0.136;0.144;0.106;0.112;0.122;0.122;0.132;0.114;0.11;0.088
5;Gaussiano;6;5.7;15;0.112;0.114;0.106;0.124;0.128;0.108;0.114;0.11;0.116;0.118
6;Gaussiano;38;36.1;15;0.104;0.12;0.122;0.102;0.1;0.134;0.102;0.128;0.122;0.12
7;Gaussiano;6;0.3;150;0.144;0.248;0.358;0.532;0.68;0.756;0.85;0.934;0.962;0.988
8;Gaussiano;38;1.9;150;0.176;0.258;0.326;0.444;0.584;0.652;0.772;0.896;0.918;0.95
9;Gaussiano;6;3;150;0.132;0.208;0.286;0.322;0.462;0.546;0.658;0.776;0.812;0.89
10;Gaussiano;38;19;150;0.138;0.214;0.302;0.402;0.494;0.624;0.724;0.814;0.884;0.896
11;Gaussiano;6;5.7;150;0.168;0.174;0.234;0.324;0.376;0.466;0.56;0.648;0.706;0.754
12;Gaussiano;38;36.1;150;0.12;0.152;0.166;0.224;0.272;0.32;0.364;0.444;0.48;0.57
13;Gaussiano;6;0.3;285;0.296;0.758;0.96;0.998;1;1;1;1;1;1
14;Gaussiano;38;1.9;285;0.318;0.824;0.99;1;1;1;1;1;1;1
15;Gaussiano;6;3;285;0.136;0.27;0.384;0.524;0.668;0.844;0.896;0.966;0.992;0.994
16;Gaussiano;38;19;285;0.162;0.382;0.62;0.824;0.924;0.986;0.998;1;1;1
17;Gaussiano;6;5.7;285;0.142;0.194;0.318;0.456;0.614;0.69;0.83;0.87;0.938;0.982
18;Gaussiano;38;36.1;285;0.152;0.216;0.358;0.504;0.612;0.756;0.846;0.934;0.96;0.972
